"name","addressName","street","zipCode","city","country","email","dateOfFoundation","description","website","ishdId","active","legacyId"
"LSC United","
",,,"Cottbus","Germany",,,,,,,"12"
"SC Siemensstadt","SC Siemensstadt
c/o Frederic Schwarzer","Rohrdamm 61-64","13629","Berlin","Germany",,,,"http://www.red-devils-siemensstadt.de",,,"13"
"Red Devils Berlin","Steglitzer Damm 46
",,"12169","Berlin","Germany","kontakt@red-devils-inlinehockey.berlin","1988-01-05",,"http://www.red-devils-inlinehockey.berlin","144","True","14"
"IG Eishockey Leipzig","Interessengemeinschaft Eishockey Leipzig e.V.
c/o. Herr Ralf Neumann","Ludwigstraße 20","4315","Leipzig","Germany","vorstand@eishockey-leipzig.de",,,,"190",,"15"
"Eissport und Schlittschuh-Club 2007 Berlin","Murellenweg 29
",,"14052","Berlin","Germany","m.herrmann@schlittschuh-club.com",,"Nachdem der Schlittschuh-Club einige Jahre keine Inliner-Abteilung hatte, wurde diese im Jahr 2010 wieder aktiviert.
Die erste Saison wird für die Clubberer eine Lehrsaison. Wir wollen nicht die Besten sein, aber Erfahrungen sammeln, besser werden und viel Spaß haben.","http://www.schlittschuhclub.net","187",,"16"
"1. IHC Rostocker Nasenbären","1.IHC Rostocker Nasenbären e.V.
Vorsitzender Christian Ciupka","Am Erlenhain 38","18190","Sanitz","Germany","info@rostocker-nasenbaeren.de",,"Der&nbsp;1. IHC Rostocker Nasenb&auml;ren e.V.&nbsp;ist ein&nbsp;Inline-Skaterhockey-Club aus&nbsp;Rostock. Der Verein wurde 2005 gegr&uuml;ndet und verf&uuml;gt &uuml;ber mehrere Wettkampfteams. Die 1. Herrenmannschaft spielt aktuell in der&nbsp;Regionalliga Ost der BISHL. Ebenso spielen die vier Nachwuchsmannschaften in den jeweiligen Altersklassen der BISHL. &nbsp;Austragungsort der Heimspiele der Nasenb&auml;ren&nbsp; ist das WIRO&nbsp;Sportcenter in Toitenwinkel.

Vor gut fast zehn Jahren fing alles an. In den langen eiszeitlosen Sommermonaten fanden sich mehrere aktive Cracks vom Rostocker Eishockeynachwuchs zusammen, um den Hockeysport auf Rollen auszuprobieren. Schnell stellte sich f&uuml;r uns heraus, dass es die perfekte Ausgleichssportart ist. In der Folgezeit bildete sich ein harter Kern, der mehr als nur Training machen wollte. Und so dauerte es nicht lange bis wir an unserem ersten Turnier in der Skaterhalle Lichthagen Dorf teilnahmen. Nach vorherigem Training auf dem Parkplatz vor dem REAL-Supermarkt errungen wir den zweiten Platz in einem hei&szlig; umk&auml;mpften Finale, welches wir nur knapp mit 6:5 in der Verl&auml;ngerung verloren.

In den folgenden Jahren bem&uuml;hten wir uns andere Trainingsst&auml;tten zu erobern. So trainierten wir zwei Jahre lang in der Rostocker Eishalle, ein Jahr im alten Eisstadion und in den letzten Jahren in unserer momentanen Trainingshalle (Sporthalle) in der&nbsp;Danziger Str. in Rostock &ndash;L&uuml;tten Klein.

Das steigende Interesse veranlasste uns dazu am 23.07.2005 unseren eigenen Verein zu gr&uuml;nden.

Dass dieser Schritt der Richtige war, zeigte schon die Mitgliederversammlung. 30 enthusiastische Inline Skaterhockeyspieler und F&ouml;rderer dieser &nbsp;Sportart folgten der Einladung und gr&uuml;ndeten den &quot;1. Inline Hockey Club Rostocker Nasenb&auml;ren e.V.&quot;

Um unseren neuen Verein und die neue Sportart in der Rostocker Sportszene bekannt zu machen, luden wir uns am 06.08.2005 den damaligen Tabellenf&uuml;hrer der 2. Bundesliga Nord der ISHD die Salt City Boars L&uuml;neburg zu einem Testspiel in die jetzige &bdquo;OSPA&ldquo;- Arena ein. Allen Erwartungen die wir in dieses Spiel steckten, wurden bei weiten &uuml;bertroffen.

Heute ist der Verein 160 Mitglieder stark und w&auml;chst von Tag zu Tag. Neben dem Ausbau unserer Nachwuchsabteilung plant der Verein den Bau einer vereinseigenen Trainings- und Wettkampf im Zentrum von Rostock. Die Zukunft sieht also ganz gut aus. Wir w&uuml;nsche der BISHL, alle Vereinen und aktiven Sportlern maximale Erfolge und hoffen, dass wir gemeinsam unsere Sportart noch besser entwickeln und vertreten k&ouml;nnen.

Bis zum n&auml;chsten Spiel

Eure Rostocker Nasenb&auml;ren","http://www.rostocker-nasenbaeren.de","103","True","17"
"OSC Berlin","Geschäftsstelle:
Priesterweg 8",,"10829","Berlin","Germany","post@osc-berlin.de","1949-10-05",,"http://www.osc-berlin.de",,,"18"
"IHC Märkische Löwen","IHC Märkische Löwen e.V.
c/o Uli Jaensch","Ahornstraße 78 a","15370","Fredersdorf","Germany","esraloo@web.de","2008-03-10","Aus der Idee Inline-Skater- Hockey
           für Jungen als AG anzubieten, gründeten 
           im Januar 2008 ein paar ""verrückte Väter""
           den 1. Inline- Skater- Hockey Verein in
           Märkisch-Oderland. Inzwischen hat sich der 
           Verein in der Gemeinde und in der Region
           etablliert und die Mannschaft der Märkischen
           Löwen nehmen erfolgreich an der Schülerliga
           der BISHL teil. Aufgrund der starken Nachfrage
           ist unser Angebot auch für Mädchen offen.

           Die Märkischen Löwen haben zur Zeit einen
           Kader von 20 Mädchen und Jungen.","http://www.ihc-ml.de","179","True","19"
"Sputniks Fürstenwalde","BSG Pneumant Fürstenwalde e.V.
Abt. Inlinehockey ""SPUTNIKS""","Postfach 1424","15504","Fürstenwalde","Germany","vorstand@sputnikshockey.de","2003-01-01","&nbsp;
&nbsp;
","http://www.sputnikshockey.de","201","True","20"
"Alpha Eishockeyteam Spandau","
",,,,"Germany",,,,,"153",,"21"
"ECH Turtles Berlin","East-Cross Hockey Turtles Berlin e.V.
Fürstenwalder Weg 32",,"15566","Schöneiche","Germany","kontakt@ech-turtles.de","2002-11-09","Der ECH wie noch nie!



Wer die optimale Mischung aus Eis- und Inlinehockeymannschaft sucht, ist beim ECH genau richtig! Wir bieten optimale Trainingsbedingungen, ein engagiertes Team und eine gute Stimmung im Club. Werde Mitglied oder melde Dich zum Probetraining unter kontakt(at)ech-turtles.de an.

Der ECH - www.ech-turtles.de

","http://www.ech-turtles.de","154","True","22"
"ECC Preussen","ECC Preussen Berlin e.V.
-Sparte Inline-Skaterhockey-","Glockenturmstraße 14","14053","Berlin","Germany","inlinehockey@eccpreussen.de","2013-01-01","Eigentlich jagt der ECC Preussen Berlin auf dem Eis der schwarzen Hartgummischeibe hinterher und man hat, statt Rollen, eine Kufe unter den Füßen.
Doch seit dem Jahr 2013 ist der ECC Preussen Berlin auch auf dem Beton mit Rollen unterwegs, hier wir nun dem roten Ball hinterhergejagt. Der ECC Preussen Berlin ist mit seiner Sparte Mitglied im Inline- und Rollsportverband Berlin und in der Kommission Inline- und Skaterhockey aktiv.
In dieser Saison stellt der ECC eine Mannschaft im Bereich der Bambini / U10. Die Kleinsten dieser Sportart tragen ihre Spiele im Turniermodus aus. Es sind fünf an der Zahl an verschiedenen Orten, es geht von Rostock über Berlin bis nach Potsdam, also auch schon in diesem Alter ist Reisen angesagt.
Wir sehen das Inlinetraining als sinnvolle Ergänzung zu unserem Sommer- und Athletiktraining. Das Inlinetraining wird mit unseren gut ausgebildeten Trainern in die bewährten Trockentrainingseinheiten integriert.
Die Inlinesparte des ECC steht aber auch allen Interessierten offen, die nicht Eishockey spielen und sich ganz auf die Inliner konzentrieren wollen.
Gemeldet für die Saison 2018 sind folgende Mannschaften:
Bambini / U10 : 2009 und jünger

Bis bald,
Euer,
ECC Preussen Berlin e.V.
","http://www.eccpreussen.de","196",,"23"
"Oder Griffins Schwedt","
",,,,"Germany",,,,,"198","True","24"
"TSG Bergedorf Lizards","
",,,,"Germany",,,,,"120","True","25"
"Holtenau Huskies","
",,,,"Germany",,,,,"48",,"26"
"Salt City Boars Lüneburg","
",,,,"Germany",,,,,"81","True","27"
"ERC Bremerhaven Whales","
",,,,"Germany",,,,,"139",,"28"
"Neubrandenburg Blizzards","Christian Schinkel
Franz-Liszt-Str. 3",,"17033","Neubrandenburg","Germany","c.schinkel@nb-blizzards.de","2009-07-26",,"http://www.nb-blizzards.de",,"True","29"
"Eintracht Falkensee","
",,,,"Germany",,,,,,"True","30"
"U19 Berlin Auswahl","
",,,"Berlin","Germany",,,,,,,"31"
"Empelde Maddogs","
",,,,"Germany",,,,,"95","True","32"
"Eisbären Berlin","
",,,,"Germany",,,,,"220","True","33"
"WET Hamburg Hawks","
",,,,"Germany",,,,,,,"34"
"HNT Flames","
",,,,"Germany",,,,,,,"35"
"SVNA Dynamics Hamburg","
",,,,"Germany",,,,,,,"36"
